nom,adresse,VILLE,postcode
13 ET 3,"1, place Bouffay",NANTES,44000
ATELIERS DE BITCHE,3 rue Bitche,NANTES,44000
ATELIERS MAGELLAN,12 quai Magellan,NANTES,44000
ATOMIC'S CAFE,6 cours Olivier de Clisson,NANTES,44000
AU CHAT NOIR,13 Allée Duguay-Trouin,NANTES,44000
BAIN ROUGE,7 allée de la Maison Rouge,NANTES,44000
BALTHAZAR,6 rue Santeuil,NANTES,44000
BARBEROUSSE,91 rue Maréchal Joffre,NANTES,44000
BARONS PERCHES,22 quai de Versailles,NANTES,44000
BAROUDEUR (LE),43 rue du Maréchal Joffre,NANTES,44000
BELLE DE JOUR,4 place du 51ème Régiment d'Artillerie,NANTES,44000
BISTRO DU COURS,13 rue des Halles,NANTES,44000
BOITBRUTT & KREPTAR,15 rue Bon Secours,NANTES,44000
BRASSES,5 mail Pablo Picasso,NANTES,44000
BROCELIANDE,40 rue Préfet Bonnefoy,NANTES,44000
CAFE DE L'ILE,19 quai de Versailles,NANTES,44000
CAFE DE L'ORANGERIE,14 rue Gambetta,NANTES,44000
CAFE DE LA CITE,7 rue de Valmy,NANTES,44000
CAFE DU CINEMA,8 rue des Carmélites,NANTES,44000
CAFE LANDRU,7 ru Lekain,NANTES,44000
CAFE SUR COUR,9 Place Daubenton,NANTES,44000
CASA Peniche tropicale,6 quai Henri Barbusse,NANTES,44000
CASCABEL (LE),"1, Rue Kervegan",NANTES,44000
CELESTINE,12 rue de Mayence,NANTES,44000
CHAPEAU ROUGE,4 rue du Chapeau rouge,NANTES,44000
CHAUFFE MARCEL,18 rue des Olivettes,NANTES,44000
CHEMIN DE TRAVERSE,2 bis rue Bon Secours,NANTES,44000
CHEZ LES FILLES,1 rue des 2 Ponts,NANTES,44000
CHEZ MAURICE,14 cours Sully,NANTES,44000
CORNEILLE,24 rue Scribe,NANTES,44000
COUP DU LAPIN,"21, rue des Olivettes",NANTES,44000
DE DANNAN,2 Rue Kervégan,NANTES,44000
DROLE DE BARGE,Quai Malakoff,NANTES,44000
DROP,18 rue Jan Jaurès,NANTES,44000
FABRIK A JEUX,1 bis Quai Turenne,NANTES,44000
FEE VERTE,2 place de l'Ecluse,NANTES,44000
FEU,87 rue Maréchal Joffre,NANTES,44000
FLEMING'S IRISH PUB,22 rue des Carmes,NANTES,44000
FLEURS DU MALT,15 bis allée du Commandant Charcot,NANTES,44000
GRABUGE,74 rue Maréchal Joffre,NANTES,44000
GRASLIN DE FOLIE,1 rue Racine,NANTES,44000
GUINDAILLE,36 rue Fouré,NANTES,44000
HOPOPOP,6 allée du Port Maillard,NANTES,44000
JOHN MC BYRNE AND CO,13 rue de la Juiverie,NANTES,44000
KESSESCET,40 quai Malakoff,NANTES,44000
KRAKEN,23 rue Saint Léonard,NANTES,44000
L'ENCHANTIER,85 boulevard Ernest Dalby,NANTES,44000
L'ENDROIT,2 et 3 allée de la Tremperie,NANTES,44000
LICORNE NOIRE,14 b rue de Mayence,NANTES,44000
LICORNE NOIRE,14 bis rue de Mayence,NANTES,44000
LILI BIG CAFE,17 allée Duguay Trouin,NANTES,44000
LIVE BAR,7 rue des Etats,NANTES,44000
LOVECRAFT,32 bis rue Fouré,NANTES,44000
LUCCIOLA,5 place du Bouffay,NANTES,44000
LUTIN DE TRAVERS,3 rue Beausoleil,NANTES,44000
MACALLAN,1 Rue Rameau,NANTES,44000
MAISON CAFE (LA),4 rue Lebrun,NANTES,44000
MANGOUSTE,30 rue Fouré,NANTES,44000
MICRO COMEDY CLUB,59 quai de la Fosse,NANTES,44000
MODA (Club),32 rue de Crucy,NANTES,44000
MOJO,"79, rue Maréchal Joffre",NANTES,44000
MONSIEUR MACHIN,5 rue Saint Léonard,NANTES,44000
MONTE CITO,6 allée Duquesne,NANTES,44000
MYSTERE (Club Impro),9 rue Paré,NANTES,44000
NARCISSE,8 rue Guépin,NANTES,44000
NOMAD,5 rue de Santeuil,NANTES,44000
OLDEGAR,11 rue de Richebourg,NANTES,44000
PERLE (LA),8 rue du Port au Vin,NANTES,44000
PERROK,2 Rue de la Baclerie,NANTES,44000
PERSONNES,32 rue de Coulmiers,NANTES,44000
PETER MC COOL,22 rue Scribe,NANTES,44000
PETIT BAIGNEUR,Bassin saint félix- Quai Malakoff,NANTES,44000
PIOCHE,10 rue de Bel Air,NANTES,44000
POULP',2 rue Léon Maître,NANTES,44000
POUM POUM T'CHAK,19 rue du Château,NANTES,44000
PRINCESSE ABIBICHE,6 rue Paul Bellamy,NANTES,44000
RUIN BAR,13 allée du Port Maillard,NANTES,44000
SAFE PLACE,11 chaussée de la Madeleine,NANTES,44000
SALUT MARCEL,3 rue Rameau,NANTES,44000
SAUVAGE,12 rue Léon Blum,NANTES,44000
SHAFT,14 Rue Des Petites Ecuries,NANTES,44000
SHAKE POINT,2 allée Duguay Trouin,NANTES,44000
SINGE EN HIVER,17 rue des Carmélites,NANTES,44000
SOEURS CARNAGE,21 rue Léon Blum,NANTES,44000
SPACE SHAKE,9 place du Commerce,NANTES,44000
